name	code	category	price	stock
软和天下	P001	和天下系列	350	0
细支青和天下	P002	和天下系列	340	0
细支和天下	P003	和天下系列	340	0
硬和天下	P004	和天下系列	350	0
木盒中支和天下	P005	和天下系列	380	0
木盒中支作品和天下	P006	和天下系列	420	0
软竹猫	P007	熊猫系列	380	0
木盒细熊猫	P008	熊猫系列	360	0
木盒典藏熊猫（中支）	P009	熊猫系列	380	0
木盒保湿熊猫	P010	熊猫系列	400	0
中支黄熊猫	P011	熊猫系列	240	0
中支青熊猫	P012	熊猫系列	240	0
细支雨花石	P013	南京系列	190	0
粉红煊赫门	P014	南京系列	140	0
木盒软九五	P015	南京系列	350	0
十二银叉	P016	南京系列	180	0
十二金叉	P017	南京系列	180	0
中支雨花石	P018	南京系列	240	0
钻石荷花	P019	荷花系列	220	0
木盒软荷花	P020	荷花系列	300	0
木盒细荷花	P021	荷花系列	260	0
中支黑荷花	P022	荷花系列	280	0
中支绿荷花	P023	荷花系列	240	0
中支白荷花	P024	荷花系列	240	0
芙蓉王（细支）	P025	芙蓉王系列	180	0
芙蓉王（中支）	P026	芙蓉王系列	220	0
芙蓉王蓝闪电（细支）	P027	芙蓉王系列	200	0
芙蓉王沁爽（细支）	P028	芙蓉王系列	200	0
芙蓉王加特林（粗支）	P029	芙蓉王系列	260	0
中支黑芙蓉王	P030	芙蓉王系列	230	0
中支白芙蓉王	P031	芙蓉王系列	230	0
中支黑牡丹	P032	牡丹系列	200	0
中支黄牡丹	P033	牡丹系列	200	0
中支红牡丹	P034	牡丹系列	200	0
中支白牡丹	P035	牡丹系列	200	0
细支天叶	P036	黄金叶系列	180	0
木盒细支天叶	P037	黄金叶系列	340	0
木盒天叶	P038	黄金叶系列	350	0
木盒中支礼盒天叶	P039	黄金叶系列	350	0
中支天福	P040	黄金叶系列	240	0
细支苏烟	P041	苏烟系列	200	0
中支彩苏	P042	苏烟系列	240	0
中支大苏（出口版）	P043	苏烟系列	240	0
软阳光利群	P044	利群系列	210	0
细阳光利群	P045	利群系列	220	0
硬阳光利群	P046	利群系列	230	0
木盒细云端	P047	利群系列	360	0
利群细江南韵	P048	利群系列	200	0
休闲花利群（粗支）	P049	利群系列	320	0
中支铂金利群	P050	利群系列	240	0
中支花利群	P051	利群系列	340	0
中支利群	P052	利群系列	240	0
黑8口红黄鹤楼	P053	黄鹤楼系列	280	0
黄鹤楼细支涡轮	P054	黄鹤楼系列	260	0
黄鹤楼中支涡轮	P055	黄鹤楼系列	280	0
软珍品黄鹤楼	P056	黄鹤楼系列	230	0
纸盒中支LV（16支装）	P057	黄鹤楼系列	280	0
纸盒中支15周年	P058	黄鹤楼系列	280	0
硬珍品黄鹤楼	P059	黄鹤楼系列	210	0
木盒软1916	P060	黄鹤楼系列	350	0
木盒细支1916	P061	黄鹤楼系列	340	0
木盒硬1916	P062	黄鹤楼系列	400	0
木盒1916硬红爆珠	P063	黄鹤楼系列	430	0
木盒1916小蜜蜂	P064	黄鹤楼系列	480	0
木盒1916倒插	P065	黄鹤楼系列	400	0
木盒15周年（细支）	P066	黄鹤楼系列	380	0
中支青楼王	P067	黄鹤楼系列	280	0
中支1916（带免税标）	P068	黄鹤楼系列	280	0
软中华	P069	中华系列	240	0
纸盒黄细中华	P070	中华系列	260	0
硬中华	P071	中华系列	220	0
木盒金中支	P072	中华系列	380	0
木盒短金中	P073	中华系列	360	0
中华金中支6毫克	P074	中华系列	260	0
中华细金中	P075	中华系列	210	0
中华双中	P076	中华系列	240	0
3毫克细粉红中华	P077	中华系列	280	0
白皮青细和天下（细支）	P078	白皮系列	268	0
白皮金中支（中支）	P079	白皮系列	300	0
白皮软和天下（粗支）	P080	白皮系列	280	0
白皮软九五（粗支）	P081	白皮系列	300	0
白皮细荷花（细支）	P082	白皮系列	220	0
白皮细天叶（细支）	P083	白皮系列	268	0
白皮细和天下（细支）	P084	白皮系列	268	0
白皮细1916（细支）	P085	白皮系列	270	0
白皮硬和天下（粗支）	P086	白皮系列	280	0
白皮天叶（粗支）	P087	白皮系列	280	0
白皮大重九（粗支）	P088	白皮系列	280	0
白皮典藏熊猫（中支）	P089	白皮系列	300	0
白皮保湿大熊猫（粗支）	P090	白皮系列	320	0
白皮中支和天下（中支）	P091	白皮系列	280	0
白皮1916软（粗支）	P092	白皮系列	280	0
白皮1916倒插（粗支）	P093	白皮系列	320	0
